K,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,Benign,0.809,0.008,  0.830,0.04,   0.819 ,0.023
3,Malignant,0.693,0.082,  0.700,0.015,   0.693 ,0.047
3,Normal,0.841,0.034,  0.746 ,0.022,   0.790,0.008
4,Benign,0.816,0.027,  0.869 ,0.052,   0.840 ,0.02
4,Malignant,0.761,0.079,  0.710 ,0.026,   0.732 ,0.032
4,Normal,0.837,0.09,  0.726 ,0.021,   0.774 ,0.031
5,Benign,0.84,0.025,  0.879 ,0.023,   0.858,0.002
5,Malignant,0.876,0.061,  0.756 ,0.041,   0.809,0.026
5,Normal,0.82,0.049,  0.866 ,0.063,   0.842 ,0.051
6,Benign,0.83,0.02,  0.886 ,0.035,   0.856 ,0.018
6,Malignant,0.823,0.057,  0.740 ,0.029,   0.779 ,0.035
6,Normal,0.86,0.048,  0.809 ,0.08,   0.831 ,0.05
7,Benign,0.831,0.028,  0.884 ,0.048,   0.855 ,0.017
7,Malignant,0.813,0.072,  0.754 ,0.045,   0.779 ,0.031
7,Normal,0.891,0.035,  0.795 ,0.1,   0.835 ,0.045
8,Benign,0.826,0.022,  0.896 ,0.041,   0.859 ,0.025
8,Malignant,0.842,0.083,  0.730 ,0.038,   0.780 ,0.051
8,Normal,0.862,0.058,  0.803 ,0.044,   0.831 ,0.045
9,Benign,0.857,0.026,  0.880 ,0.043,   0.867 ,0.019
9,Malignant,0.871,0.077,  0.729 ,0.058,   0.789 ,0.022
9,Normal,0.817,0.078,  0.925 ,0.067,   0.863 ,0.041
10,Benign,0.849,0.029,  0.874 ,0.053,   0.860 ,0.019
10,Malignant,0.822,0.083,  0.740 ,0.044,   0.774 ,0.032
10,Normal,0.856,0.053,  0.880 ,0.048,   0.866 ,0.034
