K,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,Benign,0.846,0.04,  0.889,   0.013,   0.866,0.021
3,Malignant,0.832,0.019,  0.718 ,   0.051,   0.770 ,0.024
3,Normal,0.863,0.064,  0.905,   0.078,   0.883,0.069
4,Benign,0.852,0.012,  0.917,   0.032,   0.883 ,0.016
4,Malignant,0.881,0.042,  0.734 ,   0.015,   0.800,0.019
4,Normal,0.885,0.037,  0.905,   0.075,   0.892 ,0.038
5,Benign,0.843,0.024,  0.860 ,   0.055,   0.850,0.027
5,Malignant,0.848,0.079,  0.750 ,   0.034,   0.793 ,0.03
5,Normal,0.803,0.09,  0.866 ,   0.070,   0.829,0.051
6,Benign,0.858,0.018,  0.894 ,   0.027,   0.875,0.017
6,Malignant,0.863,0.066,  0.760 ,   0.047,   0.806,0.04
6,Normal,0.865,0.035,  0.904 ,   0.048,   0.883,0.027
7,Benign,0.848,0.03,  0.904 ,   0.045,   0.873,0.013
7,Malignant,0.859,0.062,  0.772 ,   0.043,   0.810,0.019
7,Normal,0.909,0.047,  0.843 ,   0.087,   0.871 ,0.042
8,Benign,0.849,0.016,  0.871 ,   0.024,   0.859 ,0.008
8,Malignant,0.843,0.062,  0.703 ,   0.038,   0.764 ,0.03
8,Normal,0.798,0.077,  0.923,   0.047,   0.853,0.056
9,Benign,0.826,0.041,  0.864 ,   0.032,   0.844 ,0.027
9,Malignant,0.794,0.05,  0.739 ,   0.044,   0.763 ,0.013
9,Normal,0.861,0.062,  0.820 ,   0.114,   0.837,0.078
10,Benign,0.84,0.029,  0.911,   0.029,   0.873 ,0.018
10,Malignant,0.842,0.047,  0.743 ,   0.070,   0.787,0.04
10,Normal,0.913,0.053,  0.833 ,   0.071,   0.870,0.052
