K,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,Benign,0.836,0.007,0.915,0.007,0.874,0.007
3,Malignant,0.92,0.029,0.708,0.015,0.8,0.005
3,Normal,0.822,0.027,0.873,0.022,0.846,0.008
4,Benign,0.846,0.017,0.893,0.021,0.868,0.015
4,Malignant,0.844,0.051,0.757,0.041,0.798,0.045
4,Normal,0.866,0.025,0.857,0.089,0.86,0.056
5,Benign,0.853,0.021,0.841,0.062,0.846,0.026
5,Malignant,0.781,0.108,0.762,0.047,0.766,0.046
5,Normal,0.791,0.104,0.8,0.07,0.787,0.029
6,Benign,0.846,0.012,0.878,0.027,0.862,0.016
6,Malignant,0.892,0.05,0.76,0.023,0.82,0.027
6,Normal,0.791,0.051,0.873,0.044,0.827,0.024
7,Benign,0.833,0.02,0.857,0.032,0.844,0.013
7,Malignant,0.806,0.052,0.7,0.058,0.746,0.03
7,Normal,0.83,0.041,0.911,0.04,0.867,0.021
8,Benign,0.84,0.024,0.861,0.03,0.85,0.016
8,Malignant,0.827,0.049,0.75,0.041,0.785,0.033
8,Normal,0.823,0.055,0.869,0.057,0.843,0.046
9,Benign,0.845,0.039,0.901,0.045,0.871,0.025
9,Malignant,0.885,0.052,0.739,0.055,0.803,0.029
9,Normal,0.835,0.058,0.862,0.096,0.845,0.056
10,Benign,0.843,0.023,0.858,0.04,0.85,0.019
10,Malignant,0.821,0.064,0.743,0.033,0.778,0.022
10,Normal,0.821,0.065,0.876,0.044,0.844,0.028
