K,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,Benign,0.884,0.03,  0.831,0.06,   0.854 ,0.023
3,Malignant,0.767,0.066,  0.802 ,0.078,   0.778 ,0.011
3,Normal,0.867,0.003,  0.936,0.022,   0.900,0.012
4,Benign,0.849,0.025,  0.889,0.011,   0.868 ,0.017
4,Malignant,0.82,0.039,  0.734 ,0.034,   0.774,0.017
4,Normal,0.872,0.048,  0.881,0.023,   0.876 ,0.033
5,Benign,0.832,0.011,  0.882 ,0.024,   0.856 ,0.015
5,Malignant,0.857,0.038,  0.693 ,0.045,   0.764,0.022
5,Normal,0.794,0.058,  0.876 ,0.071,   0.832 ,0.057
6,Benign,0.855,0.019,  0.904 ,0.029,   0.879 ,0.02
6,Malignant,0.864,0.065,  0.775 ,0.028,   0.804 ,0.027
6,Normal,0.885,0.058,  0.889,0.035,   0.886 ,0.039
7,Benign,0.824,0.025,  0.897 ,0.033,   0.858 ,0.014
7,Malignant,0.876,0.086,  0.723 ,0.039,   0.789 ,0.037
7,Normal,0.827,0.047,  0.809 ,0.056,   0.817 ,0.043
8,Benign,0.84,0.021,  0.865 ,0.025,   0.852 ,0.019
8,Malignant,0.84,0.053,  0.734 ,0.031,   0.781 ,0.022
8,Normal,0.816,0.054,  0.892 ,0.066,   0.852 ,0.054
9,Benign,0.84,0.021,  0.839 ,0.045,   0.839 ,0.02
9,Malignant,0.813,0.063,  0.708 ,0.055,   0.754,0.032
9,Normal,0.787,0.084,  0.915 ,0.062,   0.840 ,0.044
10,Benign,0.858,0.035,  0.890,0.039,   0.872 ,0.016
10,Malignant,0.837,0.065,  0.747,0.043,   0.787,0.023
10,Normal,0.853,0.06,  0.871 ,0.071,   0.858 ,0.038
