K,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
3,Benign,0.845,0.006,  0.894 ,0.027,   0.868 ,0.014
3,Malignant,0.897,0.044,  0.708 ,0.015,   0.790 ,0.008
3,Normal,0.795,0.052,  0.904 ,0.039,   0.845,0.026
4,Benign,0.859,0.012,  0.865 ,0.053,   0.860 ,0.021
4,Malignant,0.869,0.065,  0.734 ,0.047,   0.793,0.026
4,Normal,0.801,0.073,  0.952 ,0.033,   0.867 ,0.038
5,Benign,0.834,0.022,  0.844 ,0.023,   0.839 ,0.013
5,Malignant,0.769,0.063,  0.743 ,0.023,   0.754 ,0.02
5,Normal,0.842,0.056,  0.838 ,0.023,   0.839 ,0.029
6,Benign,0.857,0.025,  0.910 ,0.035,   0.881 ,0.012
6,Malignant,0.84,0.077,  0.770 ,0.029,   0.801 ,0.032
6,Normal,0.91,0.022,  0.841 ,0.065,   0.874 ,0.038
7,Benign,0.832,0.032,  0.868 ,0.041,   0.849,0.016
7,Malignant,0.846,0.061,  0.723 ,0.035,   0.779 ,0.04
7,Normal,0.819,0.097,  0.870 ,0.079,   0.837 ,0.049
8,Benign,0.839,0.024,  0.865 ,0.05,   0.851 ,0.021
8,Malignant,0.831,0.067,  0.730 ,0.038,   0.774,0.021
8,Normal,0.829,0.063,  0.886 ,0.063,   0.854 ,0.041
9,Benign,0.846,0.015,  0.901 ,0.018,   0.872,0.013
9,Malignant,0.872,0.049,  0.736 ,0.03,   0.797,0.017
9,Normal,0.854,0.049,  0.8834,0.068,   0.867 ,0.041
10,Benign,0.839,0.022,  0.879 ,0.039,   0.857,0.012
10,Malignant,0.811,0.074,  0.721 ,0.026,   0.762 ,0.037
10,Normal,0.835,0.081,  0.838 ,0.077,   0.834 ,0.064
